"variant","fcast.deflat","metric","loc","seasonality","scenario","mean","median","ci50lwr","ci50upr","ci95lwr","ci95upr","nscore","sn.relR0min.adj","sn.dur0","sn.pshift"
"non.Omicron","0.9","logScore.loose","California","w.sn.tran2","newV",-1.27332681056185,-1.26214587918172,-1.35740718660243,-1.17569090047707,-1.5172854298199,-1.0671378723959,1.1698279336597,-0.2,16,-2
"non.Omicron","0.9","logScore.loose","Florida","w.sn.tran2","newV",-2.23036812948789,-2.21783925928421,-2.35765005365678,-2.08919634373568,-2.61689228923765,-1.88462852698348,0.992890019072631,-0.2,16,-2
"non.Omicron","0.9","logScore.loose","New York","w.sn.tran2","newV",-1.04755626677084,-1.04100941696194,-1.09755753272001,-0.988863535503936,-1.19479527654627,-0.924586949537303,1.23552540365633,-0.2,16,-2
"non.Omicron","0.9","logScore.loose","Pennsylvania","w.sn.tran3","newV",-1.251594645247,-1.24207510288627,-1.31970128274882,-1.17408151932372,-1.44413047133754,-1.08944342454624,1.26853428534493,-0.2,20,0
"non.Omicron","0.9","logScore.loose","Texas","w.sn.tran3","newV",-1.27428039658145,-1.25596655979698,-1.33911286036758,-1.1810555356294,-1.52435348853546,-1.08254855813906,1.09176573987379,-0.2,20,0
"non.Omicron","0.9","logScore.loose","Wyoming","w.sn.tran3","newV",-1.74133147174508,-1.69629540013086,-1.93513715543914,-1.51604726269461,-2.28742441162762,-1.30023266287753,1.83320710207284,-0.2,20,0
"non.Omicron","0.9","logScore.loose","Iowa","w.sn.tran4","newV",-1.17089715173933,-1.15767708109691,-1.26407721636511,-1.06212292713224,-1.43673957549178,-0.951040907399399,1.52994065891669,-0.2,20,-2
"non.Omicron","0.9","logScore.loose","Massachusetts","w.sn.tran4","newV",-1.14948351980481,-1.13112835013071,-1.22922811182147,-1.0419412368741,-1.41635184301547,-0.945598458514974,1.3165011898844,-0.2,20,-2
"non.Omicron","0.9","logScore.loose","Michigan","w.sn.tran4","newV",-1.30066840398527,-1.28685368683795,-1.38123062970966,-1.20613474570703,-1.54116704806958,-1.1060982908424,1.64368548716247,-0.2,20,-2
"non.Omicron","0.9","logScore.loose","Washington","w.sn.tran4","newV",-1.06031857207994,-1.05196924531519,-1.14920407338168,-0.958951367057951,-1.30371612168582,-0.848640077453264,1.37506436618256,-0.2,20,-2
