"state","date","cum.v1.case","cum.v2.case","cum.v1.death","cum.v2.death"
"Washington","2020-12-20",0,0,0,0
"Washington","2020-12-21",0,0,0,0
"Washington","2020-12-22",0,0,0,0
"Washington","2020-12-23",0,0,0,0
"Washington","2020-12-24",0,0,0,0
"Washington","2020-12-25",0,0,0,0
"Washington","2020-12-26",0,0,0,0
"Washington","2020-12-27",0,0,0,0
"Washington","2020-12-28",42065.8907624634,0,42065.8907624634,0
"Washington","2020-12-29",84131.7815249267,0,84131.7815249267,0
"Washington","2020-12-30",126197.67228739,0,126197.67228739,0
"Washington","2020-12-31",168263.563049853,0,168263.563049853,0
"Washington","2021-01-01",210329.453812317,0,210329.453812317,0
"Washington","2021-01-02",252395.34457478,0,252395.34457478,0
"Washington","2021-01-03",294461.235337243,0,294461.235337243,0
"Washington","2021-01-04",336527.126099707,0,336527.126099707,0
"Washington","2021-01-05",378593.01686217,0,378593.01686217,0
"Washington","2021-01-06",420658.907624633,0,420658.907624633,0
"Washington","2021-01-07",462724.798387097,0,462724.798387097,0
"Washington","2021-01-08",504790.68914956,0,504790.68914956,0
"Washington","2021-01-09",546856.579912024,0,546856.579912024,0
"Washington","2021-01-10",588922.470674487,17547.0337995339,588922.470674487,17547.0337995339
"Washington","2021-01-11",630988.36143695,35094.0675990676,630988.36143695,35094.0675990676
"Washington","2021-01-12",673054.252199414,52641.1013986014,673054.252199414,52641.1013986014
"Washington","2021-01-13",715120.142961877,70188.1351981352,715120.142961877,70188.1351981352
"Washington","2021-01-14",757186.03372434,87735.168997669,757186.03372434,87735.168997669
"Washington","2021-01-15",799251.924486804,105282.202797203,799251.924486804,105282.202797203
"Washington","2021-01-16",841317.815249267,122829.236596737,841317.815249267,122829.236596737
"Washington","2021-01-17",883383.70601173,140376.27039627,883383.70601173,140376.27039627
"Washington","2021-01-18",925449.596774194,157923.304195804,925449.596774194,157923.304195804
"Washington","2021-01-19",967515.487536657,175470.337995338,967515.487536657,175470.337995338
"Washington","2021-01-20",1009581.37829912,223790.705128205,1009581.37829912,223790.705128205
"Washington","2021-01-21",1051647.26906158,277697.435897436,1051647.26906158,277697.435897436
"Washington","2021-01-22",1093713.15982405,331604.166666667,1093713.15982405,331604.166666667
"Washington","2021-01-23",1135779.05058651,352608.333333334,1135779.05058651,352608.333333334
"Washington","2021-01-24",1177844.94134897,373612.5,1177844.94134897,373612.5
"Washington","2021-01-25",1219910.83211144,394616.666666667,1219910.83211144,394616.666666667
"Washington","2021-01-26",1261976.7228739,415620.833333333,1261976.7228739,415620.833333333
"Washington","2021-01-27",1358609.28030303,447475,1358609.28030303,447475
"Washington","2021-01-28",1748551.51515152,499829.166666667,1748551.51515152,499829.166666667
"Washington","2021-01-29",1904300,571583.333333333,1904300,571583.333333333
"Washington","2021-01-30",2024600,619137.5,2024600,619137.5
"Washington","2021-01-31",2144900,654791.666666667,2144900,654791.666666667
"Washington","2021-02-01",2265200,676545.833333333,2265200,676545.833333333
"Washington","2021-02-02",2385500,696400,2385500,696400
"Washington","2021-02-03",2499300,751300,2499300,751300
"Washington","2021-02-04",2622700,827800,2622700,827800
"Washington","2021-02-05",2822800,924700,2822800,924700
"Washington","2021-02-06",2999900,1006700,2999900,1006700
"Washington","2021-02-07",3201000,1077300,3201000,1077300
"Washington","2021-02-08",3314600,1129600,3314600,1129600
"Washington","2021-02-09",3459000,1158100,3459000,1158100
"Washington","2021-02-10",3606100,1216900,3606100,1216900
"Washington","2021-02-11",3763500,1310400,3763500,1310400
"Washington","2021-02-12",3972300,1431400,3972300,1431400
"Washington","2021-02-13",4167500,1577400,4167500,1577400
"Washington","2021-02-14",4355200,1697400,4355200,1697400
"Washington","2021-02-15",4485900,1757900,4485900,1757900
"Washington","2021-02-16",4556800,1813500,4556800,1813500
"Washington","2021-02-17",4669300,1918500,4669300,1918500
"Washington","2021-02-18",4797500,2031100,4797500,2031100
"Washington","2021-02-19",4974700,2189300,4974700,2189300
"Washington","2021-02-20",5190117.64705882,2359200,5190117.64705882,2359200
"Washington","2021-02-21",5361535.29411765,2516600,5361535.29411765,2516600
"Washington","2021-02-22",5473252.94117647,2596350,5473252.94117647,2596350
"Washington","2021-02-23",5546270.58823529,2676100,5546270.58823529,2676100
"Washington","2021-02-24",5683988.23529412,2749100,5683988.23529412,2749100
"Washington","2021-02-25",5829205.88235294,2867100,5829205.88235294,2867100
"Washington","2021-02-26",6004823.52941176,3199000,6004823.52941176,3199000
"Washington","2021-02-27",6201641.17647059,3373233.33333333,6201641.17647059,3373233.33333333
"Washington","2021-02-28",6387358.82352941,3525516.66666667,6387358.82352941,3525516.66666667
"Washington","2021-03-01",6496576.47058823,3659600,6496576.47058823,3659600
"Washington","2021-03-02",6605794.11764706,3731766.66666667,6605794.11764706,3731766.66666667
"Washington","2021-03-03",6694311.76470588,3858233.33333333,6694311.76470588,3858233.33333333
"Washington","2021-03-04",6819529.41176471,4015700,6819529.41176471,4015700
"Washington","2021-03-05",7430547.05882353,4196000,7430547.05882353,4196000
"Washington","2021-03-06",7591964.70588235,4400500,7591964.70588235,4400500
"Washington","2021-03-07",7716132.35294118,4585300,7716132.35294118,4585300
"Washington","2021-03-08",7866100,4696900,7866100,4696900
"Washington","2021-03-09",7942666.66666667,4774400,7942666.66666667,4774400
"Washington","2021-03-10",8077733.33333333,4900300,8077733.33333333,4900300
"Washington","2021-03-11",8227300,5048300,8227300,5048300
"Washington","2021-03-12",8439900,5224700,8439900,5224700
"Washington","2021-03-13",8674800,5411000,8674800,5411000
"Washington","2021-03-14",8899500,5565200,8899500,5565200
"Washington","2021-03-15",9054500,5723800,9054500,5723800
"Washington","2021-03-16",9177900,5823700,9177900,5823700
"Washington","2021-03-17",9348100,5972075,9348100,5972075
"Washington","2021-03-18",9558500,6159916.66666667,9558500,6159916.66666667
"Washington","2021-03-19",9829600,6387558.33333333,9829600,6387558.33333333
"Washington","2021-03-20",10127600,6690700,10127600,6690700
"Washington","2021-03-21",10371300,6809100,10371300,6809100
"Washington","2021-03-22",10571400,6952900,10571400,6952900
"Washington","2021-03-23",10731600,7056800,10731600,7056800
"Washington","2021-03-24",10957625,7188900,10957625,7188900
"Washington","2021-03-25",11222450,7346500,11222450,7346500
"Washington","2021-03-26",11559175,7536700,11559175,7536700
"Washington","2021-03-27",12011800,7725500,12011800,7725500
"Washington","2021-03-28",12200700,7908400,12200700,7908400
"Washington","2021-03-29",12361134.1092375,8056600,12361134.1092375,8056600
"Washington","2021-03-30",12467468.2184751,8156250,12467468.2184751,8156250
"Washington","2021-03-31",12642802.3277126,8297500,12642802.3277126,8297500
"Washington","2021-04-01",12874336.4369501,8482800,12874336.4369501,8482800
"Washington","2021-04-02",13146470.5461877,8702600,13146470.5461877,8702600
"Washington","2021-04-03",13426504.6554252,8946800,13426504.6554252,8946800
"Washington","2021-04-04",13713638.7646628,9183500,13713638.7646628,9183500
"Washington","2021-04-05",13912972.8739003,9361300,13912972.8739003,9361300
"Washington","2021-04-06",14035906.9831378,9490600,14035906.9831378,9490600
"Washington","2021-04-07",14244641.0923754,9720500,14244641.0923754,9720500
"Washington","2021-04-08",14511675.2016129,9960400,14511675.2016129,9960400
"Washington","2021-04-09",14807009.3108504,10260100,14807009.3108504,10260100
"Washington","2021-04-10",15099643.420088,10580100,15099643.420088,10580100
"Washington","2021-04-11",15353977.5293255,10810152.9662005,15353977.5293255,10810152.9662005
"Washington","2021-04-12",15543511.638563,10942655.9324009,15543511.638563,10942655.9324009
"Washington","2021-04-13",15670845.7478006,11018958.8986014,15670845.7478006,11018958.8986014
"Washington","2021-04-14",15882079.8570381,11235511.8648019,15882079.8570381,11235511.8648019
"Washington","2021-04-15",16200813.9662757,11521664.8310023,16200813.9662757,11521664.8310023
"Washington","2021-04-16",16512848.0755132,11843117.7972028,16512848.0755132,11843117.7972028
"Washington","2021-04-17",16872382.1847507,12204870.7634033,16872382.1847507,12204870.7634033
"Washington","2021-04-18",17110516.2939883,12534023.7296037,17110516.2939883,12534023.7296037
"Washington","2021-04-19",17261600.4032258,12732176.6958042,17261600.4032258,12732176.6958042
"Washington","2021-04-20",17332184.5124633,12949329.6620047,17332184.5124633,12949329.6620047
"Washington","2021-04-21",17569218.6217009,13150109.2948718,17569218.6217009,13150109.2948718
"Washington","2021-04-22",17867052.7309384,13389302.5641026,17867052.7309384,13389302.5641026
"Washington","2021-04-23",18204486.840176,13658204.9242424,18204486.840176,13658204.9242424
"Washington","2021-04-24",18550920.9494135,13926409.8484848,18550920.9494135,13926409.8484848
"Washington","2021-04-25",18860355.058651,14184014.7727273,18860355.058651,14184014.7727273
"Washington","2021-04-26",19052355.8345552,14346619.6969697,19052355.8345552,14346619.6969697
"Washington","2021-04-27",19259906.6104594,14490524.6212121,19259906.6104594,14490524.6212121
"Washington","2021-04-28",19419590.719697,14670779.5454545,19419590.719697,14670779.5454545
"Washington","2021-04-29",19331348.4848485,14886934.469697,19331348.4848485,14886934.469697
"Washington","2021-04-30",19473186.3636364,15135889.3939394,19473186.3636364,15135889.3939394
"Washington","2021-05-01",19600572.7272727,15375244.3181818,19600572.7272727,15375244.3181818
"Washington","2021-05-02",19724559.0909091,15598699.2424242,19724559.0909091,15598699.2424242
"Washington","2021-05-03",19772445.4545455,15754554.1666667,19772445.4545455,15754554.1666667
"Washington","2021-05-04",19846731.8181818,15879009.0909091,19846731.8181818,15879009.0909091
"Washington","2021-05-05",19911218.1818182,16031518.1818182,19911218.1818182,16031518.1818182
"Washington","2021-05-06",19994404.5454545,16221027.2727273,19994404.5454545,16221027.2727273
"Washington","2021-05-07",20025490.9090909,16405036.3636364,20025490.9090909,16405036.3636364
"Washington","2021-05-08",20052677.2727273,16612445.4545455,20052677.2727273,16612445.4545455
"Washington","2021-05-09",20043763.6363636,16764154.5454545,20043763.6363636,16764154.5454545
"Washington","2021-05-10",20076450,16827163.6363636,20076450,16827163.6363636
"Washington","2021-05-11",20061136.3636364,16923472.7272727,20061136.3636364,16923472.7272727
"Washington","2021-05-12",20058922.7272727,17034381.8181818,20058922.7272727,17034381.8181818
"Washington","2021-05-13",20077609.0909091,17171290.9090909,20077609.0909091,17171290.9090909
"Washington","2021-05-14",20041195.4545455,17379500,20041195.4545455,17379500
"Washington","2021-05-15",20026181.8181818,17491913.3333333,20026181.8181818,17491913.3333333
"Washington","2021-05-16",19970268.1818182,17596826.6666667,19970268.1818182,17596826.6666667
"Washington","2021-05-17",19912454.5454545,17705340,19912454.5454545,17705340
"Washington","2021-05-18",19913040.9090909,17832253.3333333,19913040.9090909,17832253.3333333
"Washington","2021-05-19",19901727.2727273,17883966.6666667,19901727.2727273,17883966.6666667
"Washington","2021-05-20",19900913.6363636,18003480,19900913.6363636,18003480
"Washington","2021-05-21",19920200,18049743.3333333,19920200,18049743.3333333
"Washington","2021-05-22",19849849.0196078,18104106.6666667,19849849.0196078,18104106.6666667
"Washington","2021-05-23",19808598.0392157,18137270,19808598.0392157,18137270
"Washington","2021-05-24",19797647.0588235,18188583.3333333,19797647.0588235,18188583.3333333
"Washington","2021-05-25",19831696.0784314,18228396.6666667,19831696.0784314,18228396.6666667
"Washington","2021-05-26",19778745.0980392,18320760,19778745.0980392,18320760
"Washington","2021-05-27",19754294.1176471,18381923.3333333,19754294.1176471,18381923.3333333
"Washington","2021-05-28",19679235.9943978,18236186.6666667,19679235.9943978,18236186.6666667
"Washington","2021-05-29",19622477.8711485,18263216.6666667,19622477.8711485,18263216.6666667
"Washington","2021-05-30",19565219.7478992,18255096.6666667,19565219.7478992,18255096.6666667
"Washington","2021-05-31",19554661.6246499,18215901.6666667,19554661.6246499,18215901.6666667
"Washington","2021-06-01",19539903.5014006,18236823.3333333,19539903.5014006,18236823.3333333
"Washington","2021-06-02",19583545.3781513,18238645,19583545.3781513,18238645
"Washington","2021-06-03",19612887.254902,18220866.6666667,19612887.254902,18220866.6666667
"Washington","2021-06-04",19169129.1316527,18178380,19169129.1316527,18178380
"Washington","2021-06-05",19201071.0084034,18110593.3333333,19201071.0084034,18110593.3333333
"Washington","2021-06-06",19194062.8851541,18025006.6666667,19194062.8851541,18025006.6666667
"Washington","2021-06-07",19127604.7619048,17974370,19127604.7619048,17974370
"Washington","2021-06-08",19136247.6190476,17957833.3333333,19136247.6190476,17957833.3333333
"Washington","2021-06-09",19107090.4761905,17890446.6666667,19107090.4761905,17890446.6666667
"Washington","2021-06-10",19065533.3333333,17815760,19065533.3333333,17815760
"Washington","2021-06-11",18971900,17761073.3333333,18971900,17761073.3333333
