"X","state","date","year","week","value","data.type","perc","date.1st"
181,"California","2021-10-17",2021,42,0,"case",0,"2021-10-17"
182,"California","2021-10-24",2021,43,0.99603540749894,"case",0.000813232490329258,"2021-10-17"
183,"California","2021-10-31",2021,44,2.1133973667576,"case",0.00189702237767644,"2021-10-17"
184,"California","2021-11-07",2021,45,0,"case",0,"2021-10-17"
185,"California","2021-11-14",2021,46,0,"case",0,"2021-10-17"
186,"California","2021-11-21",2021,47,0,"case",0,"2021-10-17"
187,"California","2021-11-28",2021,48,3.64070798593743,"case",0.00305445188165111,"2021-10-17"
188,"California","2021-12-05",2021,49,110.277419642304,"case",0.0918100715712453,"2021-10-17"
189,"California","2021-12-12",2021,50,334.601645102828,"case",0.275136410918792,"2021-10-17"
190,"California","2021-12-19",2021,51,1203.9051444522,"case",0.551460335479277,"2021-10-17"
191,"California","2021-12-26",2021,52,4619.68669362752,"case",0.814855232084315,"2021-10-17"
192,"California","2022-01-02",2022,1,12722.2881168878,"case",0.962927837086351,"2021-10-17"
193,"California","2022-01-09",2022,2,21177.0668178314,"case",0.999999983976216,"2021-10-17"
194,"California","2022-01-16",2022,3,19905.8655791289,"case",0.999999999708293,"2021-10-17"
195,"California","2022-01-23",2022,4,15194.0449357469,"case",0.985080625707822,"2021-10-17"
196,"California","2022-01-30",2022,5,8615.37790622868,"case",0.989445341468477,"2021-10-17"
197,"California","2022-02-06",2022,6,4593.74263287603,"case",0.999999908075108,"2021-10-17"
198,"California","2022-02-13",2022,7,2354.84075470758,"case",0.999999925084573,"2021-10-17"
199,"California","2022-02-20",2022,8,1770.07429738991,"case",0.998822803762224,"2021-10-17"
200,"California","2022-02-27",2022,9,1108.01234340715,"case",0.996246007497007,"2021-10-17"
201,"California","2022-03-06",2022,10,815.468647201256,"case",0.995611625551535,"2021-10-17"
202,"California","2022-03-13",2022,11,728.605366471285,"case",0.994844761870555,"2021-10-17"
203,"California","2022-03-20",2022,12,613.126918166859,"case",0.993805944862439,"2021-10-17"
204,"California","2022-03-27",2022,13,492.145319274544,"case",0.992839559051464,"2021-10-17"
205,"California","2022-04-03",2022,14,598.12809487094,"case",0.992289988961907,"2021-10-17"
206,"California","2022-04-10",2022,15,663.550813838835,"case",0.992330635790906,"2021-10-17"
207,"California","2022-04-17",2022,16,836.842029408635,"case",0.992450967427035,"2021-10-17"
208,"California","2022-04-24",2022,17,1109.36363835369,"case",0.992177809971304,"2021-10-17"
209,"California","2022-05-01",2022,18,1349.85820486848,"case",0.991871355683024,"2021-10-17"
210,"California","2022-05-08",2022,19,1545.12048364534,"case",0.991991828799928,"2021-10-17"
211,"California","2022-05-15",2022,20,2465.6761098469,"case",0.99256621531515,"2021-10-17"
212,"California","2022-05-22",2022,21,2714.05214085625,"case",0.993498549408368,"2021-10-17"
213,"California","2022-05-29",2022,22,2613.26653771435,"case",0.99463429625006,"2021-10-17"
214,"California","2022-06-05",2022,23,3240.57964977857,"case",0.995804278758401,"2021-10-17"
215,"California","2022-06-12",2022,24,2640.22675973219,"case",0.996839319851565,"2021-10-17"
216,"California","2022-06-19",2022,25,3298.4592288439,"case",0.997607634654156,"2021-10-17"
217,"California","2022-06-26",2022,26,3324.55354449631,"case",0.998127007116481,"2021-10-17"
218,"California","2022-07-03",2022,27,3114.51446413402,"case",0.998429191867178,"2021-10-17"
219,"California","2022-07-10",2022,28,3933.01345515314,"case",0.998452257422507,"2021-10-17"
220,"California","2022-07-17",2022,29,3618.30265920152,"case",0.998172029071373,"2021-10-17"
221,"California","2022-07-24",2022,30,3062.78071071338,"case",0.997809045305651,"2021-10-17"
222,"California","2022-07-31",2022,31,2714.62882447395,"case",0.997591326960965,"2021-10-17"
223,"California","2022-08-07",2022,32,2296.76988314013,"case",0.997532111044977,"2021-10-17"
224,"California","2022-08-14",2022,33,2047.02929826268,"case",0.997590938608359,"2021-10-17"
225,"California","2022-08-21",2022,34,1889.23728550544,"case",0.997727350701782,"2021-10-17"
226,"California","2022-08-28",2022,35,1589.28814897585,"case",0.997907255174026,"2021-10-17"
227,"California","2022-09-04",2022,36,1171.761162299,"case",0.998122027066295,"2021-10-17"
228,"California","2022-09-11",2022,37,825.917834662563,"case",0.998312877814076,"2021-10-17"
229,"California","2022-09-18",2022,38,860.556769471043,"case",0.998194897237536,"2021-10-17"
230,"California","2022-09-25",2022,39,841.152190556132,"case",0.997592536024504,"2021-10-17"
231,"California","2022-10-02",2022,40,685.416759604962,"case",0.99699380994878,"2021-10-17"
369,"Florida","2021-11-14",2021,46,0,"case",0,"2021-11-14"
370,"Florida","2021-11-21",2021,47,0,"case",0,"2021-11-14"
371,"Florida","2021-11-28",2021,48,17.6720451671711,"case",0.024820529580998,"2021-11-14"
372,"Florida","2021-12-05",2021,49,183.987114935986,"case",0.290774603825157,"2021-11-14"
373,"Florida","2021-12-12",2021,50,990.631982928395,"case",0.609049441607735,"2021-11-14"
374,"Florida","2021-12-19",2021,51,4479.01994160778,"case",0.828839118800735,"2021-11-14"
375,"Florida","2021-12-26",2021,52,13379.1281230818,"case",0.950937673090637,"2021-11-14"
376,"Florida","2022-01-02",2022,1,21728.7695407848,"case",0.999999566154016,"2021-11-14"
377,"Florida","2022-01-09",2022,2,19035.5684369053,"case",0.999999834980723,"2021-11-14"
378,"Florida","2022-01-16",2022,3,12158.6508928616,"case",0.997099298020982,"2021-11-14"
379,"Florida","2022-01-23",2022,4,9084.1370089522,"case",0.986478506783978,"2021-11-14"
380,"Florida","2022-01-30",2022,5,5916.2019689043,"case",0.992684780255218,"2021-11-14"
381,"Florida","2022-02-06",2022,6,5222.57067416484,"case",0.999999994683246,"2021-11-14"
382,"Florida","2022-02-13",2022,7,1811.68993687563,"case",0.999999999736872,"2021-11-14"
383,"Florida","2022-02-20",2022,8,1052.4199222293,"case",0.997731110271523,"2021-11-14"
384,"Florida","2022-02-27",2022,9,600.070819711448,"case",0.99614803270497,"2021-11-14"
385,"Florida","2022-03-06",2022,10,392.576987700493,"case",0.997476078798467,"2021-11-14"
386,"Florida","2022-03-13",2022,11,433.821467997311,"case",0.998660599635602,"2021-11-14"
387,"Florida","2022-03-20",2022,12,344.747637795739,"case",0.99910930993768,"2021-11-14"
388,"Florida","2022-03-27",2022,13,544.400259790714,"case",0.998845515335437,"2021-11-14"
389,"Florida","2022-04-03",2022,14,543.183924283284,"case",0.99789252145961,"2021-11-14"
390,"Florida","2022-04-10",2022,15,628.054055261776,"case",0.996393841091437,"2021-11-14"
391,"Florida","2022-04-17",2022,16,962.835879018578,"case",0.994973815614166,"2021-11-14"
392,"Florida","2022-04-24",2022,17,1225.82707036977,"case",0.994259494897375,"2021-11-14"
393,"Florida","2022-05-01",2022,18,1780.53888655768,"case",0.994407934153956,"2021-11-14"
394,"Florida","2022-05-08",2022,19,1569.70727150041,"case",0.995298908991624,"2021-11-14"
395,"Florida","2022-05-15",2022,20,3228.53451198576,"case",0.996173071254074,"2021-11-14"
396,"Florida","2022-05-22",2022,21,2667.84280159034,"case",0.996352328329486,"2021-11-14"
397,"Florida","2022-05-29",2022,22,3846.3293660129,"case",0.996122733547988,"2021-11-14"
398,"Florida","2022-06-05",2022,23,3430.15530464091,"case",0.996011376725193,"2021-11-14"
399,"Florida","2022-06-12",2022,24,2953.24944309893,"case",0.996545347676718,"2021-11-14"
400,"Florida","2022-06-19",2022,25,3945.62176713075,"case",0.997927750160854,"2021-11-14"
401,"Florida","2022-06-26",2022,26,2948.90345394767,"case",0.999065743706597,"2021-11-14"
402,"Florida","2022-07-03",2022,27,3156.12883330912,"case",0.998975846202695,"2021-11-14"
403,"Florida","2022-07-10",2022,28,3635.78719881506,"case",0.998407953206201,"2021-11-14"
404,"Florida","2022-07-17",2022,29,3535.56026234121,"case",0.998288768467061,"2021-11-14"
405,"Florida","2022-07-24",2022,30,3411.77957378068,"case",0.998518850838491,"2021-11-14"
406,"Florida","2022-07-31",2022,31,3056.96372792446,"case",0.998793096125425,"2021-11-14"
407,"Florida","2022-08-07",2022,32,2520.207506669,"case",0.999009892836411,"2021-11-14"
408,"Florida","2022-08-14",2022,33,2112.79075414814,"case",0.999118502655895,"2021-11-14"
409,"Florida","2022-08-21",2022,34,2034.02502901876,"case",0.999068187268329,"2021-11-14"
410,"Florida","2022-08-28",2022,35,1807.74126153391,"case",0.998872945183265,"2021-11-14"
411,"Florida","2022-09-04",2022,36,1339.46147198069,"case",0.998805722210678,"2021-11-14"
412,"Florida","2022-09-11",2022,37,1067.29494071044,"case",0.999001134751568,"2021-11-14"
413,"Florida","2022-09-18",2022,38,812.54881500368,"case",0.998781534270629,"2021-11-14"
414,"Florida","2022-09-25",2022,39,550.186765252344,"case",0.997616432669531,"2021-11-14"
415,"Florida","2022-10-02",2022,40,498.565353649528,"case",0.996376248534154,"2021-11-14"
643,"Iowa","2021-11-28",2021,48,0,"case",0,"2021-11-28"
644,"Iowa","2021-12-05",2021,49,25.386740750386,"case",0.00686702195981827,"2021-11-28"
645,"Iowa","2021-12-12",2021,50,312.55991504897,"case",0.091803054475289,"2021-11-28"
646,"Iowa","2021-12-19",2021,51,604.648478530995,"case",0.27544156441796,"2021-11-28"
647,"Iowa","2021-12-26",2021,52,1830.3940347316,"case",0.500175065577743,"2021-11-28"
648,"Iowa","2022-01-02",2022,1,7194.81713946107,"case",0.698487698458399,"2021-11-28"
