"state","date","year","week","value","data.type","perc"
"California","2020-01-19",2020,4,0,"case",0
"California","2020-01-26",2020,5,0.0506172482373366,"case",0
"California","2020-02-02",2020,6,0.0759258723560049,"case",0
"California","2020-02-09",2020,7,0.0253086241186683,"case",0
"California","2020-02-16",2020,8,0.0506172482373366,"case",0
"California","2020-02-23",2020,9,0.480863858254698,"case",0
"California","2020-03-01",2020,10,1.82222093654412,"case",0
"California","2020-03-08",2020,11,7.11172337734579,"case",0
"California","2020-03-15",2020,12,29.4339298500112,"case",0
"California","2020-03-22",2020,13,101.791286205284,"case",0
"California","2020-03-29",2020,14,208.28997649664,"case",0
"California","2020-04-05",2020,15,218.286883023514,"case",0
"California","2020-04-12",2020,16,212.794911589763,"case",0
"California","2020-04-19",2020,17,297.654728259658,"case",0
"California","2020-04-26",2020,18,282.520171036694,"case",0
"California","2020-05-03",2020,19,330.809025855113,"case",0
"California","2020-05-10",2020,20,306.462129452954,"case",0
"California","2020-05-17",2020,21,351.334320015353,"case",0
"California","2020-05-24",2020,22,437.459567891181,"case",0
"California","2020-05-31",2020,23,482.053363588275,"case",0
"California","2020-06-07",2020,24,538.744681614092,"case",0
"California","2020-06-14",2020,25,618.03660097788,"case",0
"California","2020-06-21",2020,26,926.270334119141,"case",0
"California","2020-06-28",2020,27,1359.65521352722,"case",0
"California","2020-07-05",2020,28,1388.27926740543,"case",0
"California","2020-07-12",2020,29,1598.59393383156,"case",0
"California","2020-07-19",2020,30,1774.96973531456,"case",0
"California","2020-07-26",2020,31,1421.83850298678,"case",0
"California","2020-08-02",2020,32,1180.67262375999,"case",0
"California","2020-08-09",2020,33,1665.8895653631,"case",0
"California","2020-08-16",2020,34,1096.97700379956,"case",0
"California","2020-08-23",2020,35,940.848101611494,"case",0
"California","2020-08-30",2020,36,875.020370278838,"case",0
"California","2020-09-06",2020,37,594.955135781654,"case",0
"California","2020-09-13",2020,38,619.93474778678,"case",0
"California","2020-09-20",2020,39,610.899568976415,"case",0
"California","2020-09-27",2020,40,563.876145363929,"case",0
"California","2020-10-04",2020,41,577.239098898586,"case",0
"California","2020-10-11",2020,42,555.650842525362,"case",0
"California","2020-10-18",2020,43,769.053161093973,"case",0
"California","2020-10-25",2020,44,724.256896403931,"case",0
"California","2020-11-01",2020,45,950.566613273062,"case",0
"California","2020-11-08",2020,46,1372.30952558655,"case",0
"California","2020-11-15",2020,47,2096.1867926287,"case",0
"California","2020-11-22",2020,48,2440.43469789083,"case",0
"California","2020-11-29",2020,49,3464.67471597333,"case",0
"California","2020-12-06",2020,50,5358.51905877328,"case",0
"California","2020-12-13",2020,51,7392.92749992831,"case",0
"California","2020-12-20",2020,52,7155.20359358166,"case",0
"California","2020-12-27",2020,53,6789.19027157748,"case",0
"California","2021-01-03",2021,1,7325.45470802794,"case",0
"California","2021-01-10",2021,2,7288.09917882879,"case",0
"California","2021-01-17",2021,3,4782.49477383239,"case",0
"California","2021-01-24",2021,4,3687.82085482763,"case",0
"California","2021-01-31",2021,5,2461.74455939875,"case",0
"California","2021-02-07",2021,6,1827.71290797787,"case",0
"California","2021-02-14",2021,7,1210.38494847531,"case",0
"California","2021-02-21",2021,8,978.886963661852,"case",0
"California","2021-02-28",2021,9,784.213026941056,"case",0
"California","2021-03-07",2021,10,611.00080347289,"case",0
"California","2021-03-14",2021,11,496.378044839441,"case",0
"California","2021-03-21",2021,12,458.136713796133,"case",0
"California","2021-03-28",2021,13,491.26570276747,"case",0
"California","2021-04-04",2021,14,469.652137770127,"case",0
"California","2021-04-11",2021,15,502.603966372634,"case",0
"California","2021-04-18",2021,16,349.005926596436,"case",0
"California","2021-04-25",2021,17,334.8584057141,"case",0
"California","2021-05-02",2021,18,340.881858254343,"case",0
"California","2021-05-09",2021,19,278.470791177707,"case",0
"California","2021-05-16",2021,20,213.275775448018,"case",0
"California","2021-05-23",2021,21,309.144843609533,"case",0
"California","2021-05-30",2021,22,159.64680094056,"case",0
"California","2021-06-06",2021,23,167.290005424397,"case",0
"California","2021-06-13",2021,24,158.836924968762,"case",0
"California","2021-06-20",2021,25,179.438145001358,"case",0
"California","2021-06-27",2021,26,1346.92497559553,"case",0
"California","2021-07-04",2021,27,959.627100707546,"case",0
"California","2021-07-11",2021,28,657.518054603002,"case",0
"California","2021-07-18",2021,29,1156.47757910255,"case",0
"California","2021-07-25",2021,30,1505.86313506076,"case",0
"California","2021-08-01",2021,31,1974.88255722792,"case",0
"California","2021-08-08",2021,32,2346.21069029703,"case",0
"California","2021-08-15",2021,33,2736.46967420689,"case",0
"California","2021-08-22",2021,34,2379.08659302718,"case",0
"California","2021-08-29",2021,35,2471.94393491857,"case",0
"California","2021-09-05",2021,36,1717.82286205461,"case",0
"California","2021-09-12",2021,37,1810.99576128811,"case",7.72983976066645e-05
"California","2021-09-19",2021,38,1234.02787208513,"case",0.000139759872801873
"California","2021-09-26",2021,39,1321.46449973215,"case",0
"California","2021-10-03",2021,40,1076.27454927049,"case",0
"California","2021-10-10",2021,41,973.04067149044,"case",0
"California","2021-10-17",2021,42,982.058328836242,"case",4.36106691162619e-05
"California","2021-10-24",2021,43,1223.86849308143,"case",0.000748753537474251
"California","2021-10-31",2021,44,1112.66088820318,"case",0.00125615897539925
"California","2021-11-07",2021,45,1148.54967015573,"case",0.000225795431579447
"California","2021-11-14",2021,46,834.172250951307,"case",0
"California","2021-11-21",2021,47,601.130440066609,"case",0
"California","2021-11-28",2021,48,1188.24205940174,"case",0.00309824127185187
"California","2021-12-05",2021,49,1100.12061581789,"case",0.0841084892732029
"California","2021-12-12",2021,50,894.583757472527,"case",0.264401212906177
"California","2021-12-19",2021,51,982.999378440491,"case",0.549727676213749
