"X","state","date","year","week","value","data.type"
569,"California","2020-01-19",2020,4,0,"case"
570,"California","2020-01-26",2020,5,0.0506172482373366,"case"
571,"California","2020-02-02",2020,6,0.0759258723560049,"case"
572,"California","2020-02-09",2020,7,0.0253086241186683,"case"
573,"California","2020-02-16",2020,8,0.0506172482373366,"case"
574,"California","2020-02-23",2020,9,0.480863858254698,"case"
575,"California","2020-03-01",2020,10,1.82222093654412,"case"
576,"California","2020-03-08",2020,11,7.11172337734579,"case"
577,"California","2020-03-15",2020,12,29.4339298500112,"case"
578,"California","2020-03-22",2020,13,101.791286205284,"case"
579,"California","2020-03-29",2020,14,208.28997649664,"case"
580,"California","2020-04-05",2020,15,218.286883023514,"case"
581,"California","2020-04-12",2020,16,212.794911589763,"case"
582,"California","2020-04-19",2020,17,297.654728259658,"case"
583,"California","2020-04-26",2020,18,282.520171036694,"case"
584,"California","2020-05-03",2020,19,330.809025855113,"case"
585,"California","2020-05-10",2020,20,306.462129452954,"case"
586,"California","2020-05-17",2020,21,351.334320015353,"case"
587,"California","2020-05-24",2020,22,437.459567891181,"case"
588,"California","2020-05-31",2020,23,482.053363588275,"case"
589,"California","2020-06-07",2020,24,538.744681614092,"case"
590,"California","2020-06-14",2020,25,618.03660097788,"case"
591,"California","2020-06-21",2020,26,926.270334119141,"case"
592,"California","2020-06-28",2020,27,1359.65521352722,"case"
593,"California","2020-07-05",2020,28,1388.27926740543,"case"
594,"California","2020-07-12",2020,29,1598.59393383156,"case"
595,"California","2020-07-19",2020,30,1774.96973531456,"case"
596,"California","2020-07-26",2020,31,1421.83850298678,"case"
597,"California","2020-08-02",2020,32,1180.67262375999,"case"
598,"California","2020-08-09",2020,33,1665.8895653631,"case"
599,"California","2020-08-16",2020,34,1096.97700379956,"case"
600,"California","2020-08-23",2020,35,940.848101611494,"case"
601,"California","2020-08-30",2020,36,875.020370278838,"case"
602,"California","2020-09-06",2020,37,594.955135781654,"case"
603,"California","2020-09-13",2020,38,619.93474778678,"case"
