"state","date","n.v1","n.v2"
"Washington","2020-12-20",0,0
"Washington","2020-12-21",0,0
"Washington","2020-12-22",0,0
"Washington","2020-12-23",0,0
"Washington","2020-12-24",0,0
"Washington","2020-12-25",0,0
"Washington","2020-12-26",0,0
"Washington","2020-12-27",0,0
"Washington","2020-12-28",710.000000000001,0
"Washington","2020-12-29",710,0
"Washington","2020-12-30",710,0
"Washington","2020-12-31",710,0
"Washington","2021-01-01",709.999999999999,0
"Washington","2021-01-02",710,0
"Washington","2021-01-03",710,0
"Washington","2021-01-04",709.999999999999,0
"Washington","2021-01-05",710.000000000001,0
"Washington","2021-01-06",709.999999999999,0
"Washington","2021-01-07",709.999999999999,0
"Washington","2021-01-08",710.000000000001,0
"Washington","2021-01-09",709.999999999999,0
"Washington","2021-01-10",710.000000000001,230
"Washington","2021-01-11",709.999999999998,230
"Washington","2021-01-12",709.999999999999,230
"Washington","2021-01-13",709.999999999999,230
"Washington","2021-01-14",710.000000000002,230
"Washington","2021-01-15",709.999999999999,229.999999999999
"Washington","2021-01-16",709.999999999999,230
"Washington","2021-01-17",709.999999999999,230
"Washington","2021-01-18",709.999999999999,229.999999999999
"Washington","2021-01-19",709.999999999999,230
"Washington","2021-01-20",710.000000000002,700
"Washington","2021-01-21",709.999999999999,550.000000000004
"Washington","2021-01-22",709.999999999999,549.999999999995
"Washington","2021-01-23",709.999999999999,450.000000000008
"Washington","2021-01-24",709.999999999999,449.999999999999
"Washington","2021-01-25",710.000000000004,449.999999999997
"Washington","2021-01-26",709.999999999997,449.999999999996
"Washington","2021-01-27",1000,600
"Washington","2021-01-28",2300,800
"Washington","2021-01-29",1800,900
"Washington","2021-01-30",2125.00000000003,600
"Washington","2021-01-31",2124.99999999999,200
"Washington","2021-02-01",2124.99999999999,700
"Washington","2021-02-02",2124.99999999999,300
"Washington","2021-02-03",2700,700.000000000001
"Washington","2021-02-04",2700,1300
"Washington","2021-02-05",3100,1100
"Washington","2021-02-06",3800,1100
"Washington","2021-02-07",1400.00000000001,1200
"Washington","2021-02-08",4499.99999999999,1200
"Washington","2021-02-09",2200.00000000001,600
"Washington","2021-02-10",2700,900.000000000001
"Washington","2021-02-11",3500.00000000001,1300
"Washington","2021-02-12",3599.99999999999,1300
"Washington","2021-02-13",3800,1800
"Washington","2021-02-14",4000,1600
"Washington","2021-02-15",3600,1300
"Washington","2021-02-16",2200,699.999999999998
"Washington","2021-02-17",2200,2200
"Washington","2021-02-18",2900.00000000001,1800
"Washington","2021-02-19",2700,2400
"Washington","2021-02-20",3400,2100
"Washington","2021-02-21",3200,2400
"Washington","2021-02-22",2999.99999999999,999.999999999988
"Washington","2021-02-23",1100.00000000001,1000.00000000001
"Washington","2021-02-24",5299.99999999999,2100
"Washington","2021-02-25",2200.00000000001,1899.99999999999
"Washington","2021-02-26",2899.99999999999,4900
"Washington","2021-02-27",3300,3300
"Washington","2021-02-28",3500,2800
"Washington","2021-03-01",1249.99999999998,3300
"Washington","2021-03-02",1250.00000000002,1199.99999999999
"Washington","2021-03-03",1100.00000000001,1500
"Washington","2021-03-04",1999.99999999999,3900
"Washington","2021-03-05",9000,3800
"Washington","2021-03-06",2600,4400
"Washington","2021-03-07",1899.99999999999,4400
"Washington","2021-03-08",1899.99999999999,5100
"Washington","2021-03-09",700.000000000003,2799.99999999999
"Washington","2021-03-10",1200.00000000001,2900.00000000001
"Washington","2021-03-11",2400,2799.99999999999
"Washington","2021-03-12",2299.99999999999,3300
