"location","week","Alpha","Beta","Delta","Epsilon","Gamma","Iota","Omicron","Omicron_BA.1","Omicron_BA.2","Omicron_BA.2.12.1","Omicron_nonBA.1o2","Others"
"Alabama",2020-05-03,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-05-10,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-05-17,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-05-24,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-05-31,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-06-07,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-06-14,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-06-21,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-06-28,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-07-05,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-07-12,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-07-19,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-07-26,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-08-02,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-08-09,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-08-16,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-08-23,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-08-30,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-09-06,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-09-13,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-09-20,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-09-27,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-10-04,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-10-11,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-10-18,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-10-25,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-11-01,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-11-08,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-11-15,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-11-22,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-11-29,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-12-06,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-12-13,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-12-20,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2020-12-27,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2021-01-03,0,0,0,0,0,0,0,0,0,0,0,1
"Alabama",2021-01-10,0,0,0,0.00344043756497395,0,0,0,0,0,0,0,0.996559562435026
"Alabama",2021-01-17,0.00105346134372035,0,0,0.006515154543541,0,0.00379324638685866,0,0,0,0,0,0.98863813772588
"Alabama",2021-01-24,0.00530247290516223,0,0,0.0104501910452173,0,0.00504058993384057,0,0,0,0,0,0.97920674611578
"Alabama",2021-01-31,0.0266893693608973,0,0,0.0151565329123511,0,0.0064540759298209,0,0,0,0,0,0.951700021796931
"Alabama",2021-02-07,0.0681711966390577,0,0,0.0207038934862372,0,0.00799761462940544,0,0,0,0,0,0.9031272952453
"Alabama",2021-02-14,0.13380159598934,0,0,0.0270241599126551,0,0.00963145081983023,0,0,0,0,0,0.829542793278175
"Alabama",2021-02-21,0.218449247133609,0.00135829099497555,0,0.033339187056379,0,0.0113280235096055,0,0,0,0,0,0.735525251305431
"Alabama",2021-02-28,0.314686589411774,0.0014492081735038,0,0.0386933217119313,0.00129070993223608,0.01306282026256,0,0,0,0,0,0.630817350507995
"Alabama",2021-03-07,0.415086062163743,0.00151533456690995,0,0.0421309106738345,0.00372075549040429,0.0148113286425225,0,0,0,0,0,0.522735608462586
"Alabama",2021-03-14,0.513265829397013,0.0015510065872436,0,0.0428999537617174,0.00732681363018312,0.016537999046409,0,0,0,0,0,0.418418397577434
"Alabama",2021-03-21,0.607026953789429,0.0015566287960503,0,0.041063062895633,0.0119890943583445,0.0181631332034835,0,0,0,0,0,0.32020112695706
"Alabama",2021-03-28,0.692364631110111,0.00153377127102456,0,0.0369961458327959,0.0174339354542152,0.0195986647498794,0,0,0,0,0,0.232072851581974
"Alabama",2021-04-04,0.753867690822911,0.00148259800496061,0.000418759939281694,0.0315136815786407,0.0230697162865989,0.020767203616857,0,0,0,0,0,0.16888034975075
"Alabama",2021-04-11,0.779484951980833,0.00140423219837928,0,0.0254987789463425,0.0283050953597427,0.0216082138844722,0,0,0,0,0,0.14369872763023
"Alabama",2021-04-18,0.78201155829875,0.00130503996760817,0.00751334567423468,0.0196704947318184,0.0328678061301877,0.0221178999328345,0,0,0,0,0,0.134513855264567
"Alabama",2021-04-25,0.778652484607733,0.00119238019047435,0.0341482135544143,0.0146106446131612,0.0367373635733559,0.022311155455932,0,0,0,0,0,0.112347758004929
"Alabama",2021-05-02,0.779405705541789,0.00107233987499603,0.0546305712438705,0.0105161318144274,0.0405813337878995,0.0222208911032128,0,0,0,0,0,0.0915730266338043
"Alabama",2021-05-09,0.787994430866626,0.000950164040244085,0.0472317999113769,0.00744503666794643,0.0450024436862856,0.0218730465981565,0,0,0,0,0,0.0895030782293644
"Alabama",2021-05-16,0.790249811071823,0.000829001619308829,0.0300428377294069,0.00528506039317754,0.0496560123130141,0.0212476610049081,0,0,0,0,0,0.102689615868362
"Alabama",2021-05-23,0.767529981827928,0.000711477523785435,0.0311095121213588,0.00388130943136237,0.0539605067455926,0.0203132982227794,0,0,0,0,0,0.122493914127193
"Alabama",2021-05-30,0.701193078805491,0.000600216665269075,0.0784776505106311,0.00307889022374256,0.0573343940615288,0.0190385221510819,0,0,0,0,0,0.140277247582256
"Alabama",2021-06-06,0.582613070596141,0.000497464931751594,0.189719947298301,0.002694178376019,0.0590648602661005,0.017416344030402,0,0,0,0,0,0.147994134501285
"Alabama",2021-06-13,0.443227257475839,0.000403952116811523,0.340516564796158,0.00242862615172953,0.0579139670756648,0.0155375644664261,0,0,0,0,0,0.139972067917371
"Alabama",2021-06-20,0.317953639597491,0.000319985005657344,0.49987220909261,0.00202976661865697,0.052936989269102,0.0135152178573178,0,0,0,0,0,0.113372192559164
"Alabama",2021-06-27,0.215569684937446,0.000245694444430651,0.651982293471823,0.00154437940372711,0.0448871781643037,0.0114534844060517,0,0,0,0,0,0.0743172851722187
"Alabama",2021-07-04,0.137493538115599,0.000181069652076164,0.784408827382605,0.00107903626576584,0.035046087391276,0.00944762727977319,0,0,0,0,0,0.0323438139129052
"Alabama",2021-07-11,0.0818465825025853,0.000125709277818001,0.882989497736598,0.000680230932056373,0.0251105032894713,0.00756609569750096,0,0,0,0,0,0.00168138056396994
"Alabama",2021-07-18,0.0451356673159669,7.85188188335414e-05,0.932099089144232,0.000369871461760556,0.0164945652405881,0.00582228801861848,0,0,0,0,0,0
"Alabama",2021-07-25,0.0232140532374794,4.03843225984433e-05,0.962259492494634,0.000152270761446622,0.00997836069137073,0.0043554384924704,0,0,0,0,0,1.11022302462516e-16
"Alabama",2021-08-01,0.0103629399600699,9.28633528652951e-06,0.979031305582717,9.88607174297773e-06,0.00538994306655713,0.00309702851546522,0,0,0,0,0,0.00209961046816165
"Alabama",2021-08-08,0.00387703081090177,0,0.985753352705214,0,0.00243589047893298,0.00203911638547281,0,0,0,0,0,0.00589460961947841
"Alabama",2021-08-15,0.00155959981048167,0,0.988480790221281,0,0.000728730288223483,0.00118079596070018,0,0,0,0,0,0.00805008371931359
"Alabama",2021-08-22,0.0011411321237751,0,0.990251560457013,0,0,0.000507504398389469,0,0,0,0,0,0.00809980302082203
"Alabama",2021-08-29,0.000783300154910364,0,0.993169625660075,0,0,2.65848584437722e-06,0,0,0,0,0,0.00604441569917058
"Alabama",2021-09-05,0.000372525264666893,0,0.9956030277644,0,0,0,0,0,0,0,0,0.00402444697093285
"Alabama",2021-09-12,0.000152033048502611,0,0.995865589459089,0,0,0,0,0,0,0,0,0.00398237749240871
"Alabama",2021-09-19,6.75170839382755e-05,0,0.995790176767619,0,0,0,0,0,0,0,0,0.00414230614844258
"Alabama",2021-09-26,1.41400980023515e-05,0,0.997275757325522,0,0,0,0,0,0,0,0,0.00271010257647564
"Alabama",2021-10-03,0,0,0.99896666188215,0,0,0,0,0,0,0,0,0.00103333811785
"Alabama",2021-10-10,0,0,0.999055626351613,0,0,0,0,0,0,0,0,0.000944373648387176
"Alabama",2021-10-17,0,0,0.997183644193221,6.56495392536191e-07,0,0,0,0,0,0,0,0.00281569931138625
"Alabama",2021-10-24,5.42098525979458e-07,0,0.993593440209866,3.61504660237544e-06,7.1193843645941e-06,0,0,0,0,0,0,0.0063952832606412
"Alabama",2021-10-31,2.3271546783413e-06,0,0.989486407033551,4.8046886065784e-06,2.62958638977599e-05,0,0,0,0,0,0,0.0104801652592666
"Alabama",2021-11-07,1.01129357437791e-06,0,0.986303604253559,4.78045896320283e-06,3.06168614694561e-05,0,0,0,0,0,0,0.0136599871324341
"Alabama",2021-11-14,0,0,0.985486091459174,4.09739523030653e-06,2.68405579354268e-05,0,0.00120084515181485,0.00120084515181485,0,0,0,0.0132821254358456
