"target","metric","measure","ARIMA","ARIMAX.MOB","ARIMAX.SN","ARIMAX.MOB.SN"
"all","Log score","Cases","-2.64","-2.53","-2.75","-3.03"
"all","Log score","Deaths","-1.77","-1.73","-1.64","-1.71"
"all","Accuracy","Cases","13%","15%","18%","15%"
"all","Accuracy","Deaths","14%","17%","21%","17%"
"1-8wk ahead","Log score","Cases","-2.08","-2","-2.04","-2.08"
"1-8wk ahead","Log score","Deaths","-1.34","-1.36","-1.27","-1.34"
"1-8wk ahead","Accuracy","Cases","22%","25%","26%","24%"
"1-8wk ahead","Accuracy","Deaths","22%","25%","28%","23%"
"9-16wk ahead","Log score","Cases","-2.86","-2.62","-2.8","-3.14"
"9-16wk ahead","Log score","Deaths","-1.89","-1.8","-1.64","-1.68"
"9-16wk ahead","Accuracy","Cases","8%","11%","14%","11%"
"9-16wk ahead","Accuracy","Deaths","8%","12%","18%","12%"
"17-26wk ahead","Log score","Cases","-2.89","-2.77","-3.26","-3.77"
"17-26wk ahead","Log score","Deaths","-1.82","-1.75","-1.72","-1.76"
"17-26wk ahead","Accuracy","Cases","8%","10%","12%","10%"
"17-26wk ahead","Accuracy","Deaths","10%","12%","16%","12%"
"peak intensity","Log score","Cases","-3.87","-4.45","-4.39","-4.57"
"peak intensity","Log score","Deaths","-3.14","-3.38","-3.18","-3.5"
"peak intensity","Accuracy","Cases","14%","15%","19%","18%"
"peak intensity","Accuracy","Deaths","15%","18%","23%","21%"
"peak week","Log score","Cases","-2.63","-2.66","-3.01","-3.21"
"peak week","Log score","Deaths","-2.54","-2.53","-2.36","-2.45"
"peak week","Accuracy","Cases","11%","12%","20%","21%"
"peak week","Accuracy","Deaths","11%","13%","23%","23%"
"total","Log score","Cases","-2.37","-2.36","-2.54","-2.5"
"total","Log score","Deaths","-2.22","-2.27","-2.29","-2.56"
"total","Accuracy","Cases","10%","12%","13%","13%"
"total","Accuracy","Deaths","12%","13%","17%","19%"
